周又琴	60.5	75.7	136.2
周浈美	20	76.5	96.5
周嘉淑	20.5	71.9	92.4
周雅惠	20	81.9	101.9
周盼香	25	72.8	97.8
周中颖	23	64.3	87.3
周胜霞	63	79.2	142.2
周施诗	94	74.9	168.9
周盼夏	25	75.0	100.0
周明煦	61	76.7	137.7
周春兰	62	78.6	140.6
周晴瑶	63	76.7	139.7
周家卫	62.5	85.8	148.3
周欣冉	21	84.7	105.7
周忻莹	21	87.1	108.1
周家文	22	73.3	95.3
周蘅兰	20.5	79.0	99.5
周誉瑶	70.5	71.6	142.1
周欣然	64	70.1	134.1
周雅娴	63	76.7	139.7
周家伟	62	77.7	139.7
周芷怡	65	76.3	141.3
周琳爰	60	76.5	136.5
周艺雪	20	73.6	93.6
周妙筠	24	69.6	93.6
周雅媛	20	81.9	101.9
周雅婷	20	81.9	101.9
周诗颖	63	78.8	141.8
周悠逸	88.5	65.9	154.4
周欣荣	21	76.2	97.2
周山彤	70	85.3	155.3
周嘉实	63	69.7	132.7
周芷煙	25	83.8	108.8
周春丽	80	75.3	155.3
周琸珺	22	74.4	96.4
周凡蕾	20	82.9	102.9
周欣茹	24	70.1	94.1
周春梨	80	68.6	148.6
周晴雪	20	77.4	97.4
周紫珊	92	70.9	162.9
周紫山	95	65.8	160.8
周紫杉	63	64.1	127.1
周南菱	22	83.1	105.1
周陶宁	63	78.1	141.1
周肖倩	65	75.0	140.0
周寒梦	20.5	65.9	86.4
周怡骞	65	82.5	147.5
周米米	20	66.0	86.0
周桂艳	62	78.9	140.9
周绪芳	60	85.8	145.8
周学霞	20	85.9	105.9
周静香	60.5	81.1	141.6
周桂燕	62.5	77.7	140.2
周宏凯	24	76.1	100.1
周绾蓉	23	72.7	95.7
周新颖	63	78.8	141.8
周宏俊	21.5	90.3	111.8
周娅潼	63	76.5	139.5
周涵易	23	64.3	87.3
周曼珊	60	70.9	130.9
周绾洁	23	72.7	95.7
周泽剑	61	78.0	139.0
周盈盈	25	72.8	97.8
周盈莹	22	87.1	109.1
周新雨	60	77.6	137.6
周新语	63	81.2	144.2
周思义	62	74.9	136.9
周萱彤	20	80.2	100.2
周宝文	22	77.6	99.6
周敏婷	20	77.9	97.9
周谷云	24	76.1	100.1
周涵意	60.5	73.3	133.8
周宛妙	61.5	84.7	146.2
周新玉	63	68.5	131.5
周思茵	62	76.4	138.4
周淼淼	20	81.9	101.9
周桠枫	20.5	73.3	93.8
周倩涵	62	77.2	139.2
周雯丽	20	75.5	95.5
周小楠	60.5	95.6	156.1
周清俊	20	70.4	90.4
周夏蕾	25	84.8	109.8
周银芳	60	85.8	145.8
周晨文	60.5	76.2	136.7
周如彤	75	67.1	142.1
周暖姝	75	76.5	151.5
周昭洁	22.5	83.8	106.3
周秀萍	61	77.2	138.2
周夏兰	22	84.2	106.2
周南莲	22.5	76.1	98.6
周滇萍	23	69.7	92.7
周燕桦	60	78.7	138.7
周可萱	23	68.7	91.7
周怡葶	62	87.1	149.1
周怡蓓	62.5	83.8	146.3
周钗妹	63	70.3	133.3
周彦婷	22	76.4	98.4
周宛婷	74	70.1	144.1
周又晴	70	66.3	136.3
周哲文	22	73.3	95.3
周梦菲	23	69.7	92.7
周美玲	25	75.0	100.0
周珊珊	97	70.8	167.8
周妍荣	21	77.2	98.2
周亦巧	60	70.2	130.2
周碧春	60	81.3	141.3
周卓瑶	61	87.1	148.1
周致玉	22	71.3	93.3
周尔容	70	85.8	155.8
周书云	62	77.2	139.2
周骊文	22	84.9	106.9
周迪菲	20.5	65.9	86.4
周靈霜	25	87.7	112.7
